#Source: http://thegreatestbooks.org/
300,The Starr Report,Kenneth W. Starr,1998
301,After Virtue,Alasdair MacIntyre,1981
302,Prejudices,H. L. Mencken,1919
303,The Triumph of the Therapeutic,Philip Rieff,1966
304,I Will Bear Witness,Victor Klemperer,1998
305,The Twilight of the Idols and The Antichrist,Friedrich Nietzsche,1889
306,A History of Philosophy,Frederick Charles Copleston,1946
307,Religion and the Rise of Western Culture,Christopher Dawson,1950
308,Critique of Pure Reason,Immanuel Kant,1781
309,The Kon-Tiki Expedition: By Raft Across the South Seas,Thor Heyerdahl,1948
310,Letters from an American Farmer,J. Crevecoeur,1782
311,The New Science of Politics,Eric Voegelin,1952
312,Natural Right and History,Leo Strauss,1953
313,The Nature and Destiny of Man,Reinhold Niebuhr,1941
314,Understanding Poetry,Cleanth Brooks & Robert Penn Warren,1938
315,Teacher in America,Jacques Barzun,1945
316,"Protestant, Catholic, Jew",Will Herberg,1955
317,Christ Stopped at Eboli: The Story of a Year,Carlo Levi,1945
318,The Stripping of the Altars,Eamon Duffy,1992
319,Lost in the Cosmos,Walker Percy,1983
320,Homo Ludens: A Study of the Play-Element in Culture,Johan Huizinga,1938
321,The Great Chain of Being,Arthur Lovejoy,1936
322,The Whig Interpretation of History,Herbert Butterfield,1931
323,Persons and Places,George Santayana,1944
324,The Principia Mathematica,Alfred North Whitehead and Bertrand Russell,1913
325,The Mirror and the Lamp,Meyer Howard Abrams,1953
326,The Ants,E. O. Wilson and Bert Hölldobler,1990
327,The Art of the Soluble: Creativity and Originality in Science,Peter B. Medawar,1967
328,The Tipping Point,Malcolm Gladwell,2000
329,A Theory of Justice,John Rawls,1971
330,The Making of the English Working Class,E. P. Thompson,1963
331,The Autobiography of Benjamin Franklin,Benjamin Franklin,1771
332,Geography,Ptolemy,150
333,A Fire on the Moon,Norman Mailer,1970
334,The Voices of Marrakesh: A Record of a Visit,Elias Canetti,1978
335,The Artist's Way,Julia Cameron,1992
336,The Lives of the Twelve Caesars,Suetonius,121
337,The Fire Next Time,James Baldwin,1963
338,Kafka's Other Trial,Elias Canetti,1974
